,PSH,PSD,PSA,vencedorft
0,2.66,3.36,2.88,A
1,3.98,3.6,2.02,H
2,2.54,3.38,2.94,A
3,6.54,4.71,1.53,A
4,1.13,10.17,20.82,H
5,1.68,3.68,6.42,H
6,4.64,3.55,1.91,A
7,6.97,4.95,1.48,A
8,1.85,3.84,4.47,H
9,1.58,4.4,6.28,H
10,1.28,6.33,10.21,A
11,2.35,3.25,3.49,D
12,2.21,3.56,3.48,H
13,2.62,2.95,3.34,D
14,1.31,5.91,11.67,H
15,4.81,3.74,1.83,A
16,1.43,5.2,7.69,H
17,1.98,3.41,4.51,H
18,2.43,3.42,3.16,D
19,2.64,3.17,3.07,A
20,2.29,3.49,3.35,D
21,7,4.62,1.51,H
22,2.9,3.32,2.67,A
23,1.46,4.85,7.4,H
24,1.64,3.76,6.91,A
25,1.28,6.02,13.69,H
26,2.39,3.12,3.55,D
27,1.22,6.92,13.58,H
28,1.37,5.04,10.06,D
29,2.16,3.45,3.75,D
30,1.39,5.14,8.58,H
31,7.68,4.63,1.48,A
32,2.72,3.3,2.87,H
33,1.4,5.46,7.98,H
34,1.39,5.24,9.27,H
35,1.68,3.81,6.2,A
36,2.33,3.49,3.28,A
37,2.19,3.35,3.78,H
38,2.34,3.21,3.55,H
39,1.89,3.58,4.7,H
40,1.28,6.34,11.91,D
41,2.09,3.65,3.69,A
42,2.45,3.59,3.01,D
43,1.52,4.52,7.14,D
44,3.27,3.65,2.27,H
45,5.17,3.41,1.86,H
46,3.84,3.58,2.08,A
47,1.93,3.76,4.28,H
48,2.03,3.58,4.06,D
49,1.52,4.28,7.66,H
50,2.18,3.38,3.77,D
51,1.35,5.58,10.12,H
52,2.83,3.35,2.72,A
53,2.49,3.36,3.12,A
54,3.32,3.32,2.39,H
55,6.33,3.9,1.65,A
56,1.19,7.4,18.5,H
57,4.28,3.77,1.92,H
58,2.02,3.86,3.76,D
59,2.11,3.63,3.69,H
60,2.08,3.41,4.06,A
61,2.36,3.34,3.37,D
62,2.32,3.42,3.38,H
63,2.32,3.23,3.57,A
64,3.34,3.27,2.41,D
65,4.18,3.65,1.97,A
66,2.42,3.7,2.97,D
67,2.05,3.35,4.27,H
68,4.32,3.65,1.94,A
69,13.25,6.89,1.25,A
70,2.78,3.1,2.96,H
71,1.11,10.86,27.28,H
72,2.36,3.4,3.28,D
73,4.06,3.31,2.11,A
74,1.58,3.93,7.5,H
75,1.99,3.61,4.15,H
76,1.59,4.19,6.52,D
77,2.15,3.53,3.68,H
78,1.6,4.35,6.15,H
79,1.42,4.78,9.52,H
80,1.27,6.47,12.81,H
81,2.22,3.33,3.71,H
82,1.26,6.45,14,D
83,2.96,3.35,2.6,A
84,2.31,3.29,3.53,H
85,4.27,3.85,1.9,A
86,2.24,3.35,3.63,D
87,6.24,4.24,1.6,A
88,9.59,5.84,1.33,A
89,2.16,3.47,3.71,H
90,1.33,5.68,10.85,H
91,1.5,4.85,6.75,H
92,2.08,3.42,4.07,H
93,4.53,3.78,1.87,H
94,1.89,3.94,4.2,H
95,2.61,3.22,3.06,A
96,1.32,5.62,10.92,H
97,1.16,9.12,21.04,H
98,1.56,4.37,6.74,H
99,1.52,4.37,7.57,D
100,2.18,3.35,3.8,H
101,1.53,4.51,6.76,H
102,2.55,3.5,2.92,H
103,3.06,3.18,2.64,H
